Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/MCD,2016-08-19 00:00:00.000,116.8,115,116.8,115.01
EOD/MCD,2016-08-18 00:00:00.000,117.24,116.8,117.365,117.13
EOD/MCD,2016-08-17 00:00:00.000,117.98,116.52,117.98,117.1
EOD/MCD,2016-08-16 00:00:00.000,118.31,117.92,118.53,117.94
EOD/MCD,2016-08-15 00:00:00.000,119.02,118.52,119.25,118.52
EOD/MCD,2016-08-12 00:00:00.000,119.57,119.28,120.02,119.52
EOD/MCD,2016-08-11 00:00:00.000,118.87,118.85,119.75,119.38
EOD/MCD,2016-08-10 00:00:00.000,118,117.65,118.94,118.8
EOD/MCD,2016-08-09 00:00:00.000,117.98,117.6,119.13,118.31
EOD/MCD,2016-08-08 00:00:00.000,119.17,118.195,119.37,118.29
EOD/MCD,2016-08-05 00:00:00.000,118.78,118.6,119.45,119.21
EOD/MCD,2016-08-04 00:00:00.000,117.85,117.58,118.55,118.3
EOD/MCD,2016-08-03 00:00:00.000,117.77,117.14,118.02,117.52
EOD/MCD,2016-08-02 00:00:00.000,118.18,117.11,118.71,117.7
EOD/MCD,2016-08-01 00:00:00.000,117.88,117.74,118.39,118.01
EOD/MCD,2016-07-29 00:00:00.000,119.14,117.43,119.66,117.65
EOD/MCD,2016-07-28 00:00:00.000,119.59,118.36,120.18,119.42
EOD/MCD,2016-07-27 00:00:00.000,121.69,119.24,121.79,119.48
EOD/MCD,2016-07-26 00:00:00.000,123.5,120.9701,124.35,121.71
EOD/MCD,2016-07-25 00:00:00.000,127.95,126.86,127.95,127.4
EOD/MCD,2016-07-22 00:00:00.000,127.29,127.29,128.6,128.26
EOD/MCD,2016-07-21 00:00:00.000,126.42,125.93,127.23,127.18
EOD/MCD,2016-07-20 00:00:00.000,126.84,125.56,126.87,126.06
EOD/MCD,2016-07-19 00:00:00.000,124.08,123.75,126.6,126.5
EOD/MCD,2016-07-18 00:00:00.000,124,123.39,124,123.8
EOD/MCD,2016-07-15 00:00:00.000,124.42,123.39,124.44,123.61
EOD/MCD,2016-07-14 00:00:00.000,123.7,123.01,124.21,123.93
EOD/MCD,2016-07-13 00:00:00.000,122.36,122.16,123.015,122.82
EOD/MCD,2016-07-12 00:00:00.000,122,121.96,122.59,122.25
EOD/MCD,2016-07-11 00:00:00.000,121.69,121.46,122.12,122
EOD/MCD,2016-07-08 00:00:00.000,121.22,121.08,121.69,121.31
EOD/MCD,2016-07-07 00:00:00.000,120.89,120.41,121.24,120.92
EOD/MCD,2016-07-06 00:00:00.000,119.29,119,120.96,120.63
EOD/MCD,2016-07-05 00:00:00.000,120.12,120.1,120.8,120.76
EOD/MCD,2016-07-01 00:00:00.000,119.72,119.66,120.86,120.4
EOD/MCD,2016-06-30 00:00:00.000,119.68,119.3,120.45,120.34
EOD/MCD,2016-06-29 00:00:00.000,119.16,119,119.96,119.49
EOD/MCD,2016-06-28 00:00:00.000,117.2,116.83,118.64,118.5
EOD/MCD,2016-06-27 00:00:00.000,118.16,116.08,118.16,116.3
EOD/MCD,2016-06-24 00:00:00.000,118.76,118.2901,121.11,119.44
EOD/MCD,2016-06-23 00:00:00.000,121.48,120.64,121.75,121.21
EOD/MCD,2016-06-22 00:00:00.000,121.31,120.05,121.45,120.62
EOD/MCD,2016-06-21 00:00:00.000,123.92,122.31,124,122.63
EOD/MCD,2016-06-20 00:00:00.000,123.32,123.2742,124.08,123.42
EOD/MCD,2016-06-17 00:00:00.000,122.23,121.42,122.71,122.27
EOD/MCD,2016-06-16 00:00:00.000,121.84,120.95,122.63,122.47
EOD/MCD,2016-06-15 00:00:00.000,123.15,122.13,123.32,122.25
EOD/MCD,2016-06-14 00:00:00.000,122.54,121.93,123.19,122.51
EOD/MCD,2016-06-13 00:00:00.000,121.95,121.85,123.965,122.99
EOD/MCD,2016-06-10 00:00:00.000,121.8,121.61,122.66,122.36
EOD/MCD,2016-06-09 00:00:00.000,122.07,122.07,123.09,122.79
EOD/MCD,2016-06-08 00:00:00.000,121.98,120.8854,122.49,122.11
EOD/MCD,2016-06-07 00:00:00.000,122.34,121.9,123.38,121.9
EOD/MCD,2016-06-06 00:00:00.000,121.79,121.205,122.17,122
EOD/MCD,2016-06-03 00:00:00.000,121.09,120.34,121.67,121.35
EOD/MCD,2016-06-02 00:00:00.000,120.7,120.55,121.51,121.17
EOD/MCD,2016-06-01 00:00:00.000,121.6,121.5,122.735,121.97
EOD/MCD,2016-05-31 00:00:00.000,123.3,121.62,123.41,122.06
EOD/MCD,2016-05-27 00:00:00.000,124.27,123.115,124.68,123.25
EOD/MCD,2016-05-26 00:00:00.000,123.38,123.23,123.98,123.79
EOD/MCD,2016-05-25 00:00:00.000,123.75,123.0315,123.99,123.26
