Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/CRM,2016-08-19 00:00:00.000,76.72,76.51,77.57,77.48
EOD/CRM,2016-08-18 00:00:00.000,76.37,76.17,77.16,76.91
EOD/CRM,2016-08-17 00:00:00.000,77.42,75.87,77.45,76.32
EOD/CRM,2016-08-16 00:00:00.000,79,77.92,79,77.96
EOD/CRM,2016-08-15 00:00:00.000,79.35,78.205,79.75,78.92
EOD/CRM,2016-08-12 00:00:00.000,81.31,80.59,81.79,81.63
EOD/CRM,2016-08-11 00:00:00.000,80.42,80.2,81.64,81.48
EOD/CRM,2016-08-10 00:00:00.000,81.3,79.94,81.46,80.24
EOD/CRM,2016-08-09 00:00:00.000,81.11,81,81.63,81.18
EOD/CRM,2016-08-08 00:00:00.000,81.38,81.035,81.52,81.17
EOD/CRM,2016-08-05 00:00:00.000,80.87,80.66,81.33,81.33
EOD/CRM,2016-08-04 00:00:00.000,80.54,80.32,81.12,80.56
EOD/CRM,2016-08-03 00:00:00.000,80.53,79.84,80.74,80.41
EOD/CRM,2016-08-02 00:00:00.000,80.81,79.6,80.85,80.5
EOD/CRM,2016-08-01 00:00:00.000,81.78,80.55,81.8,81.02
EOD/CRM,2016-07-29 00:00:00.000,82.25,80.88,82.405,81.8
EOD/CRM,2016-07-28 00:00:00.000,81.92,81.699,82.72,82.33
EOD/CRM,2016-07-27 00:00:00.000,81.92,81.05,82.12,81.5
EOD/CRM,2016-07-26 00:00:00.000,82,81.43,82.19,81.76
EOD/CRM,2016-07-25 00:00:00.000,82.58,81.92,82.68,82.19
EOD/CRM,2016-07-22 00:00:00.000,81.99,81.23,82.67,82.55
EOD/CRM,2016-07-21 00:00:00.000,82.45,81.4343,83.09,81.7
EOD/CRM,2016-07-20 00:00:00.000,82.05,81.42,82.73,82.14
EOD/CRM,2016-07-19 00:00:00.000,81.7,81.15,81.79,81.37
EOD/CRM,2016-07-18 00:00:00.000,81.51,81.15,82.07,81.63
EOD/CRM,2016-07-15 00:00:00.000,81.86,81.04,81.9059,81.4
EOD/CRM,2016-07-14 00:00:00.000,82,81.445,82.02,81.56
EOD/CRM,2016-07-13 00:00:00.000,82.37,81.28,82.48,81.33
EOD/CRM,2016-07-12 00:00:00.000,81.95,81.215,82.45,81.93
EOD/CRM,2016-07-11 00:00:00.000,81.06,81.05,81.83,81.66
EOD/CRM,2016-07-08 00:00:00.000,79.43,79.3,81.1001,80.89
EOD/CRM,2016-07-07 00:00:00.000,78.5,78.39,79.1,78.76
EOD/CRM,2016-07-06 00:00:00.000,78.48,77.73,78.73,78.5
EOD/CRM,2016-07-05 00:00:00.000,79.1,78.26,79.24,78.67
EOD/CRM,2016-07-01 00:00:00.000,79.59,79.33,80.845,79.83
EOD/CRM,2016-06-30 00:00:00.000,79.35,79.09,79.96,79.41
EOD/CRM,2016-06-29 00:00:00.000,78.25,77.9,79.65,79
EOD/CRM,2016-06-28 00:00:00.000,77.55,76.6,77.9099,77.55
EOD/CRM,2016-06-27 00:00:00.000,77.46,75.51,77.69,76.07
EOD/CRM,2016-06-24 00:00:00.000,79.41,78.33,80.5095,78.46
EOD/CRM,2016-06-23 00:00:00.000,81.16,80.79,82.32,82.28
EOD/CRM,2016-06-22 00:00:00.000,81.56,80.47,81.81,80.62
EOD/CRM,2016-06-21 00:00:00.000,81.57,81.23,81.87,81.63
EOD/CRM,2016-06-20 00:00:00.000,81.48,81.13,82.29,81.22
EOD/CRM,2016-06-17 00:00:00.000,81.53,80.17,81.53,80.5
EOD/CRM,2016-06-16 00:00:00.000,81.19,80.21,81.84,81.64
EOD/CRM,2016-06-15 00:00:00.000,81.83,81.75,82.61,81.99
EOD/CRM,2016-06-14 00:00:00.000,81.12,80.77,81.72,81.09
EOD/CRM,2016-06-13 00:00:00.000,81.25,80.8,82.99,81.49
EOD/CRM,2016-06-10 00:00:00.000,82,81.55,82.59,81.83
EOD/CRM,2016-06-09 00:00:00.000,82.81,82.65,83.29,82.73
EOD/CRM,2016-06-08 00:00:00.000,83.13,82.935,83.56,83.35
EOD/CRM,2016-06-07 00:00:00.000,82.98,82.76,83.34,83.14
EOD/CRM,2016-06-06 00:00:00.000,82.86,82.5,83.4,82.83
EOD/CRM,2016-06-03 00:00:00.000,83,82.12,83.01,82.55
EOD/CRM,2016-06-02 00:00:00.000,83.21,82.45,83.37,83.24
EOD/CRM,2016-06-01 00:00:00.000,82.07,81.91,83.85,83.45
EOD/CRM,2016-05-31 00:00:00.000,83.56,83.1573,84.06,83.71
EOD/CRM,2016-05-27 00:00:00.000,83.12,83.01,83.8,83.77
EOD/CRM,2016-05-26 00:00:00.000,83.82,83.25,84.48,83.35
EOD/CRM,2016-05-25 00:00:00.000,83,82.34,83.95,83.57
EOD/CRM,2016-05-24 00:00:00.000,81.97,81.83,83.41,82.75
EOD/CRM,2016-05-23 00:00:00.000,80.79,80.71,82.1,81.73
EOD/CRM,2016-05-20 00:00:00.000,81.6,80.72,81.82,81.02
EOD/CRM,2016-05-19 00:00:00.000,82.26,80.152,82.48,81.09
EOD/CRM,2016-05-18 00:00:00.000,76.77,76.64,78.49,77.87
EOD/CRM,2016-05-17 00:00:00.000,77.46,76.57,77.55,76.77
EOD/CRM,2016-05-16 00:00:00.000,76.67,76,77.69,77.31
EOD/CRM,2016-05-13 00:00:00.000,76,75.95,77.34,76.37
EOD/CRM,2016-05-12 00:00:00.000,76.45,75.19,76.79,75.89
EOD/CRM,2016-05-11 00:00:00.000,75.99,75.78,76.92,75.79
EOD/CRM,2016-05-10 00:00:00.000,75.13,74.95,75.98,75.92
EOD/CRM,2016-05-09 00:00:00.000,74.25,74.2,75.32,74.62
EOD/CRM,2016-05-06 00:00:00.000,73.5,73.17,74.32,74.25
EOD/CRM,2016-05-05 00:00:00.000,74.11,73.64,74.59,73.81
