Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/IBM,2016-08-19 00:00:00.000,160.84,159.52,160.91,160.04
EOD/IBM,2016-08-18 00:00:00.000,160.89,160.4401,162,161.36
EOD/IBM,2016-08-17 00:00:00.000,160.97,159.84,161.16,160.44
EOD/IBM,2016-08-16 00:00:00.000,161.11,160.69,161.93,160.7
EOD/IBM,2016-08-15 00:00:00.000,162.4,161.78,162.97,161.88
EOD/IBM,2016-08-12 00:00:00.000,163.19,161.52,163.46,161.95
EOD/IBM,2016-08-11 00:00:00.000,162.25,162.18,164.95,163.53
EOD/IBM,2016-08-10 00:00:00.000,162.19,161.955,162.66,162.08
EOD/IBM,2016-08-09 00:00:00.000,162.22,161.645,162.772,161.77
EOD/IBM,2016-08-08 00:00:00.000,162.73,161.58,163.27,162.04
EOD/IBM,2016-08-05 00:00:00.000,162,161.57,163.51,163.5
EOD/IBM,2016-08-04 00:00:00.000,160.86,160.12,161.7,161.55
EOD/IBM,2016-08-03 00:00:00.000,160.13,159.8,160.86,160.67
EOD/IBM,2016-08-02 00:00:00.000,161.27,160.36,161.4499,160.58
EOD/IBM,2016-08-01 00:00:00.000,160.65,159.84,161.65,161.45
EOD/IBM,2016-07-29 00:00:00.000,161.36,160.03,161.67,160.62
EOD/IBM,2016-07-28 00:00:00.000,161.38,160.71,161.81,161.37
EOD/IBM,2016-07-27 00:00:00.000,162.12,161.18,162.57,161.83
EOD/IBM,2016-07-26 00:00:00.000,162.65,161.37,163.6,162.12
EOD/IBM,2016-07-25 00:00:00.000,162,161.75,162.88,162.65
EOD/IBM,2016-07-22 00:00:00.000,160.78,160.479,162.17,162.07
EOD/IBM,2016-07-21 00:00:00.000,160.75,159.89,161.85,160.45
EOD/IBM,2016-07-20 00:00:00.000,159.97,159.6,161.71,161.36
EOD/IBM,2016-07-19 00:00:00.000,161.78,157.89,162.14,159.58
EOD/IBM,2016-07-18 00:00:00.000,159.3,158.73,160.75,159.86
EOD/IBM,2016-07-15 00:00:00.000,159.9,158.5,159.98,159.78
EOD/IBM,2016-07-14 00:00:00.000,158.81,158.58,161.4,160.28
EOD/IBM,2016-07-13 00:00:00.000,157.75,157.06,158.34,158.02
EOD/IBM,2016-07-12 00:00:00.000,156,155.52,157.12,157.04
EOD/IBM,2016-07-11 00:00:00.000,154.6,154.5,156.04,155.33
EOD/IBM,2016-07-08 00:00:00.000,154,153.08,154.6,154.46
EOD/IBM,2016-07-07 00:00:00.000,152.75,151.89,153.6891,152.6
EOD/IBM,2016-07-06 00:00:00.000,151.85,149.92,152.41,152.37
