Symbol,Interim_Buffer_Date,Interim_Open,Interim_Low,Interim_High,Interim_Close
EOD/FB,2016-08-19 00:00:00.000,123.6,123.28,124.157,123.56
EOD/FB,2016-08-18 00:00:00.000,124.01,123.64,124.26,123.91
EOD/FB,2016-08-17 00:00:00.000,123.66,122.85,124.38,124.37
EOD/FB,2016-08-16 00:00:00.000,123.5,122.78,123.92,123.3
EOD/FB,2016-08-15 00:00:00.000,124.91,123.7,124.92,123.9
EOD/FB,2016-08-12 00:00:00.000,124.7,124.18,125,124.88
EOD/FB,2016-08-11 00:00:00.000,125.2,124.75,125.38,124.9
EOD/FB,2016-08-10 00:00:00.000,125.07,124.54,125.48,124.88
EOD/FB,2016-08-09 00:00:00.000,125.34,124.53,126.09,125.06
EOD/FB,2016-08-08 00:00:00.000,125.25,124.55,125.45,125.26
EOD/FB,2016-08-05 00:00:00.000,124.98,124.6184,125.835,125.15
EOD/FB,2016-08-04 00:00:00.000,122.94,122.51,124.79,124.36
EOD/FB,2016-08-03 00:00:00.000,123.09,122.31,123.92,122.51
EOD/FB,2016-08-02 00:00:00.000,124.06,122.07,124.8,123.09
EOD/FB,2016-08-01 00:00:00.000,123.85,122.86,124.58,124.31
EOD/FB,2016-07-29 00:00:00.000,124.65,123.71,125.84,123.94
EOD/FB,2016-07-28 00:00:00.000,127.52,123.63,128.33,125
EOD/FB,2016-07-27 00:00:00.000,122.42,121.51,125,123.34
EOD/FB,2016-07-26 00:00:00.000,122,120.75,122.07,121.22
EOD/FB,2016-07-25 00:00:00.000,121.39,117.78,121.85,121.63
EOD/FB,2016-07-22 00:00:00.000,119.9,119.31,121.01,121
EOD/FB,2016-07-21 00:00:00.000,121.92,120.25,122.1,120.61
EOD/FB,2016-07-20 00:00:00.000,121.25,120.56,122.2,121.92
EOD/FB,2016-07-19 00:00:00.000,118.99,118.66,120.85,120.61
EOD/FB,2016-07-18 00:00:00.000,117.32,116.89,119.61,119.37
EOD/FB,2016-07-15 00:00:00.000,117.74,116.58,118.28,116.86
EOD/FB,2016-07-14 00:00:00.000,117.5,116.7,117.64,117.29
EOD/FB,2016-07-13 00:00:00.000,118.39,116.68,118.4,116.78
EOD/FB,2016-07-12 00:00:00.000,118.63,117.57,118.72,117.93
EOD/FB,2016-07-11 00:00:00.000,117.71,117.5,118.7,117.87
EOD/FB,2016-07-08 00:00:00.000,116.43,115.85,117.5,117.24
EOD/FB,2016-07-07 00:00:00.000,116.63,115.36,116.97,115.85
EOD/FB,2016-07-06 00:00:00.000,113.36,112.97,116.79,116.7
EOD/FB,2016-07-05 00:00:00.000,113.94,112.97,114.11,114
EOD/FB,2016-07-01 00:00:00.000,114.2,113.81,115.13,114.19
EOD/FB,2016-06-30 00:00:00.000,114.67,113.67,115.18,114.28
EOD/FB,2016-06-29 00:00:00.000,113.37,113.04,114.25,114.16
EOD/FB,2016-06-28 00:00:00.000,110.63,110.55,112.75,112.7
EOD/FB,2016-06-27 00:00:00.000,111.57,108.23,111.57,108.97
EOD/FB,2016-06-24 00:00:00.000,111.01,111,113.68,112.08
EOD/FB,2016-06-23 00:00:00.000,114.37,113.54,115.09,115.08
EOD/FB,2016-06-22 00:00:00.000,114.65,113.61,114.74,113.91
EOD/FB,2016-06-21 00:00:00.000,114.12,113.97,115.2142,114.38
EOD/FB,2016-06-20 00:00:00.000,113.77,112.75,114.72,113.37
EOD/FB,2016-06-17 00:00:00.000,114.42,112.56,114.43,113.02
EOD/FB,2016-06-16 00:00:00.000,113.87,112.94,114.5,114.39
EOD/FB,2016-06-15 00:00:00.000,115.3,114.07,115.44,114.6
EOD/FB,2016-06-14 00:00:00.000,114.07,113.58,114.95,114.94
EOD/FB,2016-06-13 00:00:00.000,115,113.31,115.48,113.95
EOD/FB,2016-06-10 00:00:00.000,117.54,116.26,118.11,116.62
EOD/FB,2016-06-09 00:00:00.000,118.13,117.71,118.68,118.56
EOD/FB,2016-06-08 00:00:00.000,117.76,117.27,118.6,118.39
EOD/FB,2016-06-07 00:00:00.000,119.24,117.67,119.3,117.76
EOD/FB,2016-06-06 00:00:00.000,118.62,118.36,119.43,118.79
EOD/FB,2016-06-03 00:00:00.000,118.975,117.86,118.98,118.47
EOD/FB,2016-06-02 00:00:00.000,118.69,118.22,135.6,118.93
EOD/FB,2016-06-01 00:00:00.000,118.5,117.82,119.08,118.78
EOD/FB,2016-05-31 00:00:00.000,119.46,118.121,120.1,118.81
EOD/FB,2016-05-27 00:00:00.000,119.56,119.01,119.85,119.38
EOD/FB,2016-05-26 00:00:00.000,118.24,117.92,119.7601,119.47
EOD/FB,2016-05-25 00:00:00.000,118.13,117.38,118.665,117.89
EOD/FB,2016-05-24 00:00:00.000,116.24,116.12,117.73,117.7
EOD/FB,2016-05-23 00:00:00.000,117.42,115.94,117.6,115.97
EOD/FB,2016-05-20 00:00:00.000,116.96,116.95,117.99,117.35
EOD/FB,2016-05-19 00:00:00.000,117.05,115.88,117.49,116.81
EOD/FB,2016-05-18 00:00:00.000,116.8,116.73,118.27,117.65
EOD/FB,2016-05-17 00:00:00.000,118.82,117.2,119.01,117.35
